City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cocieri,47.3075,29.1103,15.03,69,100,3.46,MD,1741814957
84,bad sassendorf,51.5833,8.1667,4.19,73,98,1.12,DE,1741814957
85,chingirlau,51.095,54.0814,2.46,89,100,5.92,KZ,1741814957
86,bucecea,47.7667,26.4333,13.93,59,0,1.03,RO,1741814957
87,kone,-21.0595,164.8658,25.08,72,100,2.68,NC,1741814957
88,charlotte amalie,18.3419,-64.9307,28.85,65,0,1.54,VI,1741814957
89,mount gambier,-37.8333,140.7667,17.57,74,100,1.63,AU,1741814957
90,puerto ayora,-0.7393,-90.3518,28.2,70,43,2.51,EC,1741814958
91,queenstown,-31.8976,26.8753,16.87,92,15,1.27,ZA,1741814958
92,trinity beach,-16.7888,145.6968,24.94,83,87,4.12,AU,1741814958
93,mahdia,35.5047,11.0622,15.22,86,69,3.22,TN,1741814958
94,remolino,10.702,-74.716,30.09,55,64,8.36,CO,1741814958
95,touros,-5.1989,-35.4608,26.87,78,19,5.75,BR,1741814958
96,taroa,8.7058,171.2275,26.9,82,79,9.74,MH,1741814958
97,kosh-agach,50.0,88.6667,-28.05,98,50,2.23,RU,1741814958
98,tamanrasset,22.785,5.5228,17.95,13,0,2.06,DZ,1741814958
99,tiksi,71.6872,128.8694,-28.66,99,97,3.22,RU,1741814959
100,dompu,-8.5356,118.4622,24.53,98,100,0.89,ID,1741814959
101,miarinarivo,-18.956,46.9067,17.12,98,100,0.87,MG,1741814959
102,papatowai,-46.5619,169.4708,11.82,66,1,1.07,NZ,1741814959
103,medias,46.1667,24.35,13.17,56,100,2.26,RO,1741814959
104,manokwari,-0.8667,134.0833,26.32,76,100,1.65,ID,1741814959
105,essaouira,31.5125,-9.77,17.72,100,40,5.14,MA,1741814960
106,petropavlovsk-kamchatsky,53.0452,158.6483,-17.67,55,0,4.0,RU,1741814960
107,khandyga,62.6667,135.6,-39.37,100,77,0.54,RU,1741814960
108,rio grande,-32.035,-52.0986,21.71,77,86,7.55,BR,1741814960
109,tuburan,6.6439,122.2736,25.81,78,62,1.1,PH,1741814960
110,juneau,58.3019,-134.4197,3.01,65,75,0.0,US,1741814960
111,iskateley,67.6803,53.1512,-13.49,95,36,3.13,RU,1741814960
112,severobaykal'sk,55.65,109.3167,-15.94,84,79,2.47,RU,1741814960
113,santa cruz,-17.8,-63.1667,24.03,88,75,5.14,BO,1741814960
114,sinabang,2.4803,96.3801,26.2,86,100,4.69,ID,1741814960
115,fale old settlement,-9.3852,-171.2468,28.52,75,17,5.9,TK,1741814961
116,peace river,56.2501,-117.286,-9.83,57,40,6.17,CA,1741814961
117,susuman,62.7833,148.1667,-33.77,100,100,0.75,RU,1741814961
118,le port,-20.9373,55.2919,25.23,76,12,1.22,RE,1741814961
